0.8837209302325582
class4,p
Ib,0.9736537850198506
nonevent,0.08123150107169652
nonevent,0.0023727112790098426
Ib,0.8653572289713364
Ib,0.9892476931056652
nonevent,0.2224930620516009
nonevent,0.41801118759832967
Ia,0.9964191361993766
nonevent,0.5148667035099919
Ib,0.9946199481514113
nonevent,0.06663189076358367
nonevent,0.15162482935274657
nonevent,0.36136421828529797
Ia,0.9984021199654916
nonevent,0.0044834479435017505
nonevent,0.0216631812303667
Ib,0.9272133244904907
II,0.9576242235013126
II,0.7134691114888718
nonevent,0.022570685968028026
nonevent,0.3437834443900878
nonevent,0.27046435016748793
II,0.8371505201141074
Ia,0.9922932191344295
nonevent,0.3123766927138202
nonevent,0.27815321963846873
II,0.9731362644338349
Ib,0.9960101202827251
Ib,0.9733318050079315
II,0.9134163218360529
Ib,0.8946861987362129
nonevent,0.038417082305568284
nonevent,0.11440182069283444
II,0.6913931108341318
nonevent,0.4393500904122676
Ib,0.9883048806255798
nonevent,0.12949197681650138
II,0.9836385682712727
II,0.8038659279971173
nonevent,0.4265872525817527
nonevent,0.19020868725767492
II,0.8320677726935022
nonevent,0.017257938267487893
nonevent,0.09165314825976378
nonevent,0.19296687189590256
nonevent,0.34638123788061315
Ib,0.9954611188972367
nonevent,0.4705847183068602
nonevent,0.2603046972726366
nonevent,0.019383065752872963
nonevent,0.3382562644584268
nonevent,0.7238747325666952
nonevent,0.24284561094509216
nonevent,0.15075419906310994
II,0.9770650606756377
Ib,0.9299331443924507
II,0.9786638736063146
nonevent,0.18985430840678053
nonevent,0.6346592955178599
nonevent,0.11890247146821009
Ib,0.9965588305454799
Ia,0.9138958221637142
II,0.914022051103484
nonevent,0.017069564410051585
Ib,0.9953487547733632
Ia,0.9947117585292622
nonevent,0.0093218234586262
nonevent,0.24876820542275702
nonevent,0.054710670152456564
nonevent,0.15374977610519458
Ib,0.8860541705570523
nonevent,0.011610239574874615
nonevent,0.01504134604664642
nonevent,0.032512359511991384
Ib,0.9973045459291675
nonevent,0.01894482920583629
Ib,0.9393168848173582
Ib,0.8873770654490951
II,0.9391200220420166
nonevent,0.0075885043216281645
nonevent,0.4659034649898772
II,0.5999750282225309
nonevent,0.08861951713387273
nonevent,0.019376184869017377
nonevent,0.036450096561976286
nonevent,0.7191520570585581
nonevent,0.10688377487280709
nonevent,0.4533306856802546
II,0.8776153433647653
nonevent,0.36536167440289713
nonevent,0.35684335187084293
II,0.9832800913246497
nonevent,0.08170508448854408
nonevent,0.04675374755146644
II,0.9847169779144666
nonevent,0.02018503339335065
Ib,0.9974773103029438
II,0.8850567473606805
II,0.9757552907269534
nonevent,0.0050314274316386465
nonevent,0.023894536438920144
II,0.8101252095948432
II,0.8471294609675422
nonevent,0.21991104141617246
nonevent,0.03085379431738544
nonevent,0.00401161230828595
II,0.9962574945565199
II,0.9169599408107775
II,0.9362478727835946
nonevent,0.18934525906287225
II,0.9884542560316727
II,0.9540486798878762
nonevent,0.1419966937870616
II,0.9940845744548017
nonevent,0.1529612829075616
II,0.9297189462621225
nonevent,0.04656997353822878
II,0.8034617958534007
nonevent,0.005870509505382371
Ib,0.9926683488024176
Ib,0.9915831901950349
nonevent,0.007916747258761014
nonevent,0.002761726725872271
nonevent,0.46661965533428484
II,0.9822662959629157
nonevent,0.22312761476131382
Ib,0.9883366524208794
II,0.9642589824610645
nonevent,0.33146746975259145
nonevent,0.5817077577448289
nonevent,0.12729419716828072
nonevent,0.003580424407240823
nonevent,0.0035262059201847107
Ib,0.9928172140343039
nonevent,0.089958915902144
II,0.9041941987368525
nonevent,0.0024198279827578606
Ib,0.9835508851156484
nonevent,0.47259594773657065
nonevent,0.20177322404588627
II,0.6587619771220395
II,0.6365160806682449
II,0.981010324053778
nonevent,0.09091192735003673
Ib,0.9927977430164056
II,0.8874496581817506
Ib,0.7677070092975624
Ib,0.9920721689236917
nonevent,0.6651919579467553
nonevent,0.10710342170607845
nonevent,0.35218045607352677
nonevent,0.22017672160380386
II,0.7720938290296262
nonevent,0.6759422976831738
nonevent,0.06455934603508007
nonevent,0.03473005675878482
II,0.957667800145746
nonevent,0.004604033295067755
nonevent,0.030219475833375364
II,0.8028183416617674
II,0.995492309328403
nonevent,0.01409102809638585
II,0.935736855308103
nonevent,0.010713896117446442
nonevent,0.05624809916378648
nonevent,0.009220722431888762
nonevent,0.522000233630459
nonevent,0.07159728474892835
II,0.8672644114637521
II,0.6794160323808673
nonevent,0.05586743367080316
II,0.9753003100887216
nonevent,0.14304735585568418
nonevent,0.23447277550992462
II,0.6676294348706933
nonevent,0.06541510159567221
nonevent,0.0027684105485841215
nonevent,0.6737606313334106
II,0.9847305353928488
nonevent,0.01831352476585335
nonevent,0.07307907895414745
nonevent,0.5760274856825633
nonevent,0.588505577852165
nonevent,0.2132995218182464
II,0.6089006030193758
nonevent,0.25344266782288316
nonevent,0.008868398993986393
nonevent,0.07932384137213788
nonevent,0.5600250301537695
II,0.9372146786875711
II,0.9624659630078498
nonevent,0.3187020998985651
nonevent,0.09663513186912942
nonevent,0.015564513738815955
nonevent,0.013901882676034871
nonevent,0.1935737762151084
Ib,0.993350113631298
nonevent,0.18199508281520116
nonevent,0.022571947824484018
Ib,0.9967305954763525
nonevent,0.018514230209578986
II,0.9901035713400466
nonevent,0.1216755491444017
nonevent,0.03871402437631799
II,0.7573072718948223
nonevent,0.08166017266316061
II,0.8234701596555186
II,0.7878226908181036
nonevent,0.07323202688605901
nonevent,0.06262598302015077
II,0.9144105308989922
nonevent,0.4321308419461781
nonevent,0.009704250191358565
nonevent,0.11925414335306073
II,0.9232481846001575
II,0.8228251924987322
II,0.9321965868854367
nonevent,0.13393009939916112
nonevent,0.029806066886194582
nonevent,0.09412827210371788
nonevent,0.7122271182338663
II,0.6948351268068065
nonevent,0.11545991107422271
Ib,0.9743097580540808
II,0.9857106073937788
II,0.9559066287972319
II,0.8557334035780184
nonevent,0.32679671839328994
II,0.956849912015936
nonevent,0.04963089455010938
nonevent,0.3705863332854852
II,0.9531558212943249
II,0.9406897069098457
II,0.9227846614338184
nonevent,0.0006634190784774452
nonevent,0.4358349242371685
nonevent,0.003960149232926757
II,0.7012800466499461
nonevent,0.10858459824379607
II,0.9909436056039962
Ib,0.9873388024833585
Ib,0.9965712542281585
nonevent,0.40372152777611836
II,0.8726160040362876
Ib,0.9278680025670264
nonevent,0.002135850413802043
nonevent,0.1650081005675308
II,0.9623341019615446
nonevent,0.00406736835803545
nonevent,0.299023613670408
nonevent,0.009140607257136724
nonevent,0.232546363443484
nonevent,0.05484725090998133
II,0.8643409257571699
nonevent,0.04783844926885372
II,0.9288128579984242
nonevent,0.12274630360519989
II,0.9138626983390394
nonevent,0.05718147584550559
II,0.7733463436789342
nonevent,0.11305800540079591
nonevent,0.26416737276924507
Ib,0.9733484545799991
nonevent,0.02389718196054258
II,0.9793600613492043
nonevent,0.5920005052411441
II,0.9056766076400249
nonevent,0.18074995968154794
II,0.737163120593946
nonevent,0.2434659276461265
nonevent,0.21825491669456754
nonevent,0.07969093484042289
nonevent,0.2204528911386645
nonevent,0.09150196210632111
nonevent,0.015902179611080647
Ib,0.9732947961586046
nonevent,0.02776795711942881
II,0.7910247864676878
Ib,0.9914057505968712
nonevent,0.05771956653009225
II,0.8624037387987223
nonevent,0.5144570460753456
II,0.99207055144851
II,0.6385675770317039
nonevent,0.017546512664169622
II,0.6652394466114464
II,0.9928047918662731
nonevent,0.0309527852650604
nonevent,0.12971360652009556
nonevent,0.0020369940586680846
nonevent,0.052878825770490856
nonevent,0.1260997733312007
Ia,0.9964198618782242
Ib,0.9664055636493379
nonevent,0.026679600230395506
II,0.5717092148763451
Ib,0.9903938142806806
nonevent,0.016343259761087747
nonevent,0.05316406170803545
Ib,0.98374410890443
II,0.994526679265154
nonevent,0.3717490566750937
Ib,0.9954266906061442
nonevent,0.485894751200984
II,0.9059530459926517
II,0.7315909509269982
II,0.9839465368043966
nonevent,0.022056337318634878
nonevent,0.8345083625095229
II,0.7333699829875007
nonevent,0.001042440178403048
nonevent,0.4892765819112277
II,0.8926607397279254
II,0.9864847278586013
II,0.9687243838143327
nonevent,0.35913607821259297
nonevent,0.2980853089071098
Ib,0.8412920404417112
nonevent,0.24954081730419697
Ib,0.960187791483687
nonevent,0.22036992349439743
nonevent,0.45783770926986544
nonevent,0.19728797273229826
II,0.9941767860025761
II,0.9542541693375061
II,0.9014377623162151
nonevent,0.5656358966400474
nonevent,0.20897502621555297
nonevent,0.005995304838714244
nonevent,0.2510665852598758
nonevent,0.7164527181641717
nonevent,0.6574365194619265
Ib,0.9860222029008224
nonevent,0.02150132440305419
nonevent,0.29340434635610724
nonevent,0.10494239037687914
nonevent,0.4749896152405818
nonevent,0.00443026014915926
nonevent,0.026187352617863757
nonevent,0.16759698344228313
II,0.9833322770174551
Ib,0.9876745044478792
Ib,0.9935409670719876
nonevent,0.014428097019054453
II,0.9571501940167083
Ia,0.9650611961920388
nonevent,0.018577297926287928
nonevent,0.03153507585117166
nonevent,0.46757934224386666
nonevent,0.03230534021477183
nonevent,0.43032237468061385
nonevent,0.025549240216898084
nonevent,0.060977022506901735
nonevent,0.10945718647119607
Ib,0.9892617283365029
nonevent,0.10813725009382202
II,0.9822015045031974
nonevent,0.3216225402596723
Ib,0.9727785643840583
II,0.8299155138710766
nonevent,0.013785764131749034
Ib,0.9749346104812041
nonevent,0.009792499674072697
II,0.8561551736358338
II,0.8281542886124127
II,0.7277122327594489
Ib,0.9934190460293665
nonevent,0.3171795485774799
nonevent,0.10229665010802147
II,0.7913251268038879
Ia,0.8644548720555176
II,0.9972890528396752
nonevent,0.3152581338983622
II,0.685164918408501
Ib,0.9865096664143385
nonevent,0.21994223886301734
Ib,0.9880601090175954
II,0.9873443018440055
nonevent,0.12409636976706517
nonevent,0.029076250470134957
II,0.7137032734932651
nonevent,0.18318543178333158
Ia,0.9838914250026385
nonevent,0.09462417354468478
nonevent,0.2285430357491144
nonevent,0.4420847097844023
nonevent,0.2232642540894506
Ib,0.9950642339421076
Ib,0.9371224390010078
nonevent,0.02224435406520331
nonevent,0.6638492819850138
nonevent,0.013262005229103035
nonevent,0.40271967050334834
Ib,0.9198706545055071
nonevent,0.4211872612371632
nonevent,0.0893243726195262
nonevent,0.06210878146314758
nonevent,0.6919880594490315
nonevent,0.05854573106975014
nonevent,0.15827306562395171
nonevent,0.15106816637264842
II,0.9846601419560855
nonevent,0.19450771896799535
II,0.9461638100546642
nonevent,0.12805093735283357
nonevent,0.067871279593823
II,0.9842444932851543
II,0.9562030673013008
nonevent,0.2528036610445932
Ib,0.9828839439037701
nonevent,0.38628986454603476
nonevent,0.08739520574139403
nonevent,0.2489602702513024
nonevent,0.20681556970774018
Ib,0.9445086416446281
Ib,0.9837974833353915
nonevent,0.007117388705177308
Ib,0.9274226289625667
II,0.9556619827042994
nonevent,0.016236514801016955
nonevent,0.04961244161839795
II,0.7685964669934022
nonevent,0.003294785968505076
nonevent,0.3253444815427262
nonevent,0.5098233710368036
nonevent,0.35665024855522187
II,0.9867298806715933
II,0.867433770283485
nonevent,0.16296263908438224
nonevent,0.4304161313450605
Ia,0.9860916012977285
II,0.9337686734432054
nonevent,0.1206961761452755
nonevent,0.003279387284231383
II,0.8509036334321218
II,0.9782673622281127
nonevent,0.29290203170738205
nonevent,0.5944260356794611
nonevent,0.7280328182602837
II,0.9778476571442914
Ia,0.9981578112699588
Ib,0.9961712724038544
nonevent,0.005075736925360785
nonevent,0.33882732170430074
nonevent,0.04155981326359948
Ib,0.9265057981194097
nonevent,0.011724321849781671
nonevent,0.02599842465902913
nonevent,0.015787937339332148
II,0.9774875395544346
II,0.8985522745398065
nonevent,0.0076778490069252525
II,0.7698854710686404
nonevent,0.048833404358748056
nonevent,0.4807113405034713
nonevent,0.6102986809596143
nonevent,0.011823574597489617
nonevent,0.3510898550854218
II,0.9434312243214168
nonevent,0.012407391235141008
nonevent,0.0954792248631624
II,0.8663691324869207
nonevent,0.15943644918466504
Ib,0.9865122272745396
Ib,0.8838446374160456
nonevent,0.43725699494788073
Ib,0.956435613920443
II,0.619277079308995
nonevent,0.14897511464033775
II,0.9964753525795546
II,0.9449419409391233
II,0.9240592673768442
nonevent,0.20898582402589982
nonevent,0.053520353981315494
nonevent,0.06812678911833181
Ib,0.9781667098225917
nonevent,0.49774661832747846
nonevent,0.5403102755313456
nonevent,0.0017105646487809434
II,0.6589411607289052
nonevent,0.008624401653240188
nonevent,0.16431309891884127
nonevent,0.14033191928181932
Ia,0.9540556849247473
II,0.990420133235268
nonevent,0.061200582568654904
nonevent,0.04313352726159092
nonevent,0.03577048796350546
nonevent,0.04790265239658642
II,0.593557523716562
II,0.9609786066955858
nonevent,0.005743075134948317
nonevent,0.15866081365591078
nonevent,0.23125378564604648
nonevent,0.6317854044091812
nonevent,0.02414448187375462
nonevent,0.15037871796447566
nonevent,0.1244058009857163
Ib,0.9518058373049996
nonevent,0.5026497949359088
Ib,0.6764685827013794
nonevent,0.19674505123338626
Ib,0.9700180926574078
II,0.7096671293602533
II,0.955383994437274
nonevent,0.3517208922842445
Ib,0.9917577021340183
II,0.7672740721892812
Ib,0.9936984530718098
II,0.9314299112330823
nonevent,0.011603899843055543
Ib,0.9111779427289259
II,0.98742841769766
nonevent,0.054649822404689186
nonevent,0.00030669070013178423
nonevent,0.06483671313190198
II,0.9567454469731834
nonevent,0.3333482121917979
II,0.886270387371643
Ib,0.9952389743067073
Ib,0.9679206708152722
nonevent,0.1731884833270808
nonevent,0.007667752058963639
nonevent,0.0029657291533407015
nonevent,0.6368224189413606
Ib,0.9316917650750693
nonevent,0.051207387982638686
nonevent,0.028159178794012085
II,0.855002221235216
nonevent,0.4585603342146479
nonevent,0.12121703758772517
Ib,0.9800515008943164
nonevent,0.10942021588399142
II,0.8914130036497785
nonevent,0.20801097870701546
II,0.9466518542380505
nonevent,0.21228780274681835
II,0.8899379314854607
Ib,0.9945485463084823
II,0.9251381678690749
nonevent,0.20059139507524026
II,0.9529681837259328
nonevent,0.3373423750191973
nonevent,0.29073742335400743
nonevent,0.47307029978934056
nonevent,0.15380903062050855
II,0.8770549309502026
nonevent,0.2670197534459161
nonevent,0.04659500550906426
nonevent,0.6275471673652435
nonevent,0.13933542534377674
nonevent,0.31125110300851855
nonevent,0.03927519452503769
II,0.8453781150404954
Ib,0.9409889628806234
nonevent,0.017206996240256123
II,0.9610492857158071
nonevent,0.1894236233704445
II,0.9864818032641798
nonevent,0.028581172260956578
Ib,0.9813949745741182
nonevent,0.047392508789201315
nonevent,0.22954275657600454
nonevent,0.1350745015653244
nonevent,0.032994559518348066
nonevent,0.21562250061423538
II,0.9466338303197195
II,0.9049173047914377
II,0.9877301472128309
nonevent,0.3618622447967852
Ib,0.9935089813082931
nonevent,0.07472612993934558
II,0.8883592369832644
nonevent,0.07367349028211756
nonevent,0.0055290722108106705
nonevent,0.09739900025036075
II,0.9808322275705518
II,0.9937096625511603
nonevent,0.0010205096212629883
nonevent,0.08728277533281814
nonevent,0.5095879177467971
nonevent,0.43024478386649023
nonevent,0.22474819865983886
nonevent,0.030099150187079204
nonevent,0.14100766745442495
Ia,0.9965275267418388
nonevent,0.12595729145575596
II,0.9937659243016644
Ia,0.610829554228708
II,0.7894350123261256
nonevent,0.18412552940987714
nonevent,0.01934384638181119
nonevent,0.014059478450810237
II,0.5319426488514458
nonevent,0.11485117586832971
Ia,0.9624380953923046
nonevent,0.001241384492184694
nonevent,0.038060053062383026
nonevent,0.0033285871615222895
nonevent,0.27527011855712746
II,0.9693530971637974
nonevent,0.3943047016205353
nonevent,0.04279095451645509
nonevent,0.19145625846717274
nonevent,0.0037672146928706685
nonevent,0.0016361415892320874
Ib,0.9701088504662018
nonevent,0.11296746349214348
nonevent,0.02213593621325549
nonevent,0.004829636021141281
II,0.9927735465786625
nonevent,0.2564039866775133
nonevent,0.30270742730160904
nonevent,0.13651099680429046
Ib,0.9816872715312491
Ib,0.9963546477897014
II,0.662909841889945
nonevent,0.13217870899998063
Ib,0.8769938223019441
nonevent,0.015665255564370706
nonevent,0.14629116571687217
II,0.7613738734150837
nonevent,0.036283859763555526
II,0.9205905708777233
nonevent,0.7197917758710473
nonevent,0.053028144031606606
nonevent,0.1971260020445219
nonevent,0.038187917309438824
nonevent,0.09913306899728869
nonevent,0.009047376629933712
nonevent,0.01972619848061863
nonevent,0.4620175767044208
nonevent,0.07053715750879064
Ib,0.7677524111175724
nonevent,0.05883275770038121
II,0.9392866834645625
Ib,0.7988347766543633
II,0.7997024418990526
II,0.9087039393619212
II,0.7824433836708826
II,0.8281442106901566
nonevent,0.30665018454159787
nonevent,0.045157349524599266
nonevent,0.21533280726181536
nonevent,0.0037389370637200825
nonevent,0.01062114449580398
nonevent,0.05921739943696702
Ib,0.9053613573900446
nonevent,0.024532294818107148
II,0.7158869135211043
nonevent,0.0057791655430855515
Ib,0.9585498007214992
II,0.9738258390907742
II,0.8196808082295401
nonevent,0.04757961815469347
II,0.9801625673594058
Ib,0.9842564637382055
nonevent,0.016354971473045543
nonevent,0.12659278923206285
nonevent,0.30704650055699323
Ib,0.942310527168152
II,0.6995992480597769
II,0.9856137291177838
nonevent,0.3486445424775789
Ib,0.988796384295639
nonevent,0.181160667309342
Ib,0.9731991402158641
nonevent,0.1423188249019557
II,0.9714127361130565
nonevent,0.013981620079728696
nonevent,0.6108130667541922
nonevent,0.37636431316334473
Ib,0.8712781743040169
nonevent,0.00696999822455957
nonevent,0.011401676891857893
nonevent,0.19913262478346783
Ib,0.8996551821779034
Ia,0.6426288990189342
nonevent,0.002501109778556554
II,0.637558340229166
Ib,0.9973236669105052
nonevent,0.0020417188095249728
Ib,0.97291415981299
II,0.8773338130776589
II,0.8087137282405272
Ia,0.951231869443917
II,0.9858450013720608
nonevent,0.011735567375436018
Ia,0.8462273105538478
nonevent,0.38468022386147893
Ia,0.7012587276330791
nonevent,0.08691315007524403
II,0.8662722286735745
nonevent,0.2392274883991269
Ib,0.9875303107637673
nonevent,0.17182140047334282
nonevent,0.46790658497915516
Ib,0.9691081768568541
nonevent,0.09279361879811365
nonevent,0.04261573211956293
nonevent,0.05160964977077742
II,0.9675747241075611
II,0.7531872549267028
Ia,0.995376261925598
II,0.9245533433036678
nonevent,0.030703690567960407
nonevent,0.2365160454438625
nonevent,0.5867808956404308
II,0.9551323271646485
Ib,0.991742613022599
nonevent,0.13528301838751955
II,0.8382781981468886
nonevent,0.11618574310416918
nonevent,0.13504268027154587
nonevent,0.07646122964282398
II,0.9220547624380214
Ia,0.7899582550781838
nonevent,0.01514040962447638
nonevent,0.10978755386502526
II,0.9543607964582438
II,0.9797567150225213
II,0.9957978898031301
nonevent,0.041087741461555694
II,0.8699465203570675
nonevent,0.12439177725760586
II,0.9000642448445102
nonevent,0.03151530427552218
nonevent,0.013617450268136877
II,0.9255114346394094
nonevent,0.4044844637605205
nonevent,0.21649429971319056
nonevent,0.004337429138521198
nonevent,0.005025505195845326
II,0.9639318001233459
II,0.8910874996472624
nonevent,0.6467400336529336
nonevent,0.3375935211895702
nonevent,0.013233744721899088
nonevent,0.0042569628732740394
II,0.7243226667669923
nonevent,0.4662025616477993
nonevent,0.06877696387119547
nonevent,0.21626597834937944
nonevent,0.1098306067837691
nonevent,0.044965276538062815
Ib,0.8953414081769487
II,0.9938985021517264
nonevent,0.016910968139018934
nonevent,0.6752398250832812
nonevent,0.01844242770391824
nonevent,0.4399370550035482
nonevent,0.004031456039110037
Ib,0.9829276458329783
II,0.8867970684049987
Ib,0.994848568205099
nonevent,0.015135468303487998
nonevent,0.15847937399151002
Ib,0.9692535964484977
nonevent,0.06657902703926022
nonevent,0.18144744511462596
nonevent,0.28751130198867036
nonevent,0.0064478160119143535
nonevent,0.1131537670983439
Ib,0.9970645312356619
nonevent,0.006619271885455635
nonevent,0.060836538475420365
nonevent,0.029439579656767023
II,0.894020496653181
II,0.9762781731328211
nonevent,0.07045596012445576
Ib,0.962811171859654
Ib,0.9952395952954054
II,0.8261129531531899
II,0.9669566873535719
Ib,0.9338166997467029
nonevent,0.04129022642896285
Ib,0.9970718469023282
Ib,0.986535690964859
II,0.9119480596573221
nonevent,0.1316767237095643
nonevent,0.20262575055581
nonevent,0.006815841055819782
nonevent,0.1315057883115862
nonevent,0.6939037372737935
II,0.5869692443742762
Ib,0.9556669913851188
II,0.8907212364479294
nonevent,0.21780931337396603
Ib,0.9852928405257092
II,0.7066580854174398
nonevent,0.5607825412490852
nonevent,0.026909369519168447
II,0.7769360884802151
nonevent,0.1367121078316299
nonevent,0.06555113679549363
nonevent,0.054739552566338
II,0.9386605954611349
nonevent,0.017049409499210078
nonevent,0.3690236690128008
nonevent,0.00012990080496222411
II,0.8386237830458213
II,0.8090381362627985
II,0.9699528744767223
Ib,0.9204651533985604
nonevent,0.03359190899905451
nonevent,0.017774108348340922
II,0.9706182941268324
nonevent,0.0029316616795926898
II,0.6812570743293104
II,0.9479739182163546
nonevent,0.08581950810004346
nonevent,0.03522387401164673
nonevent,0.37401294846420474
nonevent,0.014953978935710377
nonevent,0.012657551131802003
nonevent,0.033745636184301264
nonevent,0.00661737896586112
nonevent,0.0676861855950488
Ib,0.9843138425141482
II,0.8606363290104363
II,0.9626493608866908
II,0.773045598581501
nonevent,0.32512591093013543
nonevent,0.6431136603074536
nonevent,0.05550502609972452
